Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,threshold
Gm15258,544.3681713417975,16.663886396785397,3.2904303718282746,2.2761945379485797e-20,1.2180486021197336e-17,TRUE
Btbd35f11,240.386416719007,16.102882498841208,3.693135045664291,2.2208731994191076e-17,5.538383398085359e-15,TRUE
Gm15251,297.62301741998436,15.715040675333713,3.26624377808883,5.9381652253623e-18,1.75319209170869e-15,TRUE
Ttn,339.60359718416,15.62215484367732,2.9749924147969855,1.712094872353438e-18,5.786430117272422e-16,TRUE
Duxf3,295.6948778706296,15.431088730493453,3.238755518352238,2.1020003868610204e-17,5.364080803773276e-15,TRUE
Or4x15,145.81998852023847,15.284198951152725,3.650173187123959,3.104795499945315e-15,4.334227022369313e-13,TRUE
Spin2e,242.8392193902429,15.175402432412445,3.2370711084011456,9.973089824989561e-17,2.189476796963093e-14,TRUE
Vmn1r91,203.620134456164,15.14848689488011,3.260318681427153,1.8043488562491713e-16,3.768008513952538e-14,TRUE
Gpr31c,189.90439296168614,15.003285582135272,3.2522245736075415,3.9693701108398816e-16,7.335053285398072e-14,TRUE
Grin2b,178.1664464494238,14.772825872424669,3.2378542122889984,1.224851880246102e-15,1.9183869143903278e-13,TRUE
Iqsec3,125.49863638068649,14.491207226977703,3.266670310109368,1.233976341380691e-14,1.4256617240734176e-12,TRUE
Or5aq7,141.0043244457305,14.479395200521369,3.2423916668173827,8.254594230665148e-15,1.0096547971850714e-12,TRUE
Spin2f,172.54973329545746,14.356019118842292,3.2066358709981566,7.267972008478874e-15,9.106591659014065e-13,TRUE
Gm37317,131.37166181062855,14.351339065651954,2.993892842299222,1.3313587039928193e-15,2.0600770885999733e-13,TRUE
Or5m8,137.70822662782805,14.252052729717906,3.098317785950769,6.335701800875095e-15,8.056378042439489e-13,TRUE
Potefam3b,96.54422318098405,14.217809339151286,3.296362764121588,1.0752137480805554e-13,9.055062404326932e-12,TRUE
Gm42581,89.32541186810096,14.076115598718879,3.294806429278469,2.4987569506312835e-13,1.8822014965957523e-11,TRUE
Kcnq2,103.38733767056836,14.026880112260391,3.2487088023739035,1.44127183474638e-13,1.1568908858529848e-11,TRUE
Gpr179,109.69641944051375,13.993049388501596,3.2340424226956657,1.2791428355166565e-13,1.0530789382397705e-11,TRUE
Gm21870,112.85096032548644,13.976813373885651,3.2278800528817855,1.2187708124206581e-13,1.0164073729817216e-11,TRUE
AW822073,132.73962007917626,13.952215814859233,3.070265488368907,1.894565037966559e-14,2.0192447122493377e-12,TRUE
Grid2,99.77793201412682,13.95150168487531,3.247736351599993,2.1889212752748874e-13,1.698629361834162e-11,TRUE
Gm15914,82.59641225829782,13.926868779131311,3.1699792725468963,1.3950537129393817e-13,1.1303895795129639e-11,TRUE
Obox3,99.32306724265796,13.851231784486837,3.236419730860319,3.1501658234553766e-13,2.2857389644427914e-11,TRUE
Muc16,80.20797352117239,13.776501928794048,3.275860771251215,1.0910835741587029e-12,6.62543089499774e-11,TRUE
Flg,103.13905761480449,13.759962800056885,3.148905196846773,1.2406128201034548e-12,7.43545611223306e-11,TRUE
Gm8881,109.7755873886838,13.730231338051583,3.210307511524682,3.3325916325948853e-13,2.3778041298564503e-11,TRUE
Auts2,80.47498988099184,13.681696894647677,3.262311088093285,1.4455071245613246e-12,8.496406407661828e-11,TRUE
Atp2b2,79.03122761841523,13.643888970003239,3.2621209096842683,1.784960036393001e-12,1.018855188773125e-10,TRUE
Grip2,73.71104333957761,13.607571314721627,3.2753807132067525,2.8648255244507855e-12,1.5172352251761416e-10,TRUE
Muc5b,73.71104333957761,13.607571314721627,3.2753807132067525,2.8648255244507855e-12,1.5172352251761416e-10,TRUE
Slc24a2,77.58746535583862,13.603918837851689,3.260841301378724,2.2141815588616144e-12,1.22046067641458e-10,TRUE
Vmn2r8,81.46388737209962,13.602675737363422,3.2498197008472323,1.7605789462702892e-12,1.0071766328262505e-10,TRUE
Btbd35f5,54.141084846623194,13.565842049997965,3.629619227813837,1.5467298682001462e-10,4.856883055573222e-9,TRUE
Cacna2d4,71.54539994571269,13.546443276901874,3.2747953655463653,4.0361341909509075e-12,2.0367808021368372e-10,TRUE
Gm1043,75.42182196197369,13.544138095387217,3.2608165692904763,3.0933924485110218e-12,1.608438834665063e-10,TRUE
Gm14365,63.07067478190236,13.54382428599707,3.3227007523411167,8.93065288500887e-12,4.1556657609481494e-10,TRUE
Gm4726,109.58773897703442,13.524777393620932,3.1950705810576543,7.129238983154498e-13,4.591172125952763e-11,TRUE
Nup210,82.09348680162398,13.510499777906498,3.15626720212926,7.377741139520695e-12,3.528950817685821e-10,TRUE
Zdbf2,60.18315025674913,13.456644783754074,3.32421250038037,1.5055744933036476e-11,6.456124613522118e-10,TRUE
Zfp998,83.22095747321534,13.439387150982926,3.1029814017854456,8.06087661900206e-13,5.087264787117615e-11,TRUE
Gm4297,75.68883832179316,13.437668045959878,3.2479300197020846,4.2769958180302065e-12,2.1498809115836377e-10,TRUE
Btbd35f1,98.22548928807086,13.420249696745058,3.201980816354483,1.5331125422511653e-12,8.949892900059871e-11,TRUE
Wdr87-ps,112.77722679361821,13.403116409217999,3.053848023955408,2.6570323536852194e-13,1.978218348891552e-11,TRUE
Abca12,77.9007731943777,13.400291969730878,3.111858660464715,1.2161367011697703e-12,7.315617636123353e-11,TRUE
Pik3c2g,62.61581001043351,13.399258180274236,3.294432171262987,1.3188312543264375e-11,5.751358166150913e-10,TRUE
Flg2,89.75076412426054,13.396755489179784,3.2133882288953988,2.348407253114036e-12,1.282423914243654e-10,TRUE
Gm5934,70.36865404295553,13.395257702745317,3.260966476068254,7.02598304143935e-12,3.3986704407233737e-10,TRUE
Kcna2,70.20500748496796,13.39129543497183,3.1135355230179527,1.578221650508179e-12,9.150835511276091e-11,TRUE
Gm45492,70.71302815035416,13.38868020727077,3.0139845034770674,1.0216357939953795e-12,6.248032620134599e-11,TRUE
Ablim2,81.04396953224187,13.388398477982706,3.1023763115449356,8.885719592529044e-13,5.5397716857694424e-11,TRUE
Kbtbd12,81.04396953224187,13.388398477982706,3.1023763115449356,8.885719592529044e-13,5.5397716857694424e-11,TRUE
Gm21883,69.64677291166721,13.373388531988343,3.263337854915261,7.94392772283304e-12,3.743994999792468e-10,TRUE
Pde6h,76.24167947289757,13.365864503620674,2.993063321240876,4.063633008437006e-13,2.821039931208458e-11,TRUE
Arhgap20,57.29562573159589,13.362808077533982,3.3248656543459996,2.6105114857417047e-11,1.0363770946330977e-9,TRUE
Vmn1r14,57.29562573159589,13.362808077533982,3.3248656543459996,2.6105114857417047e-11,1.0363770946330977e-9,TRUE
Trim9,76.67773581290092,13.349861311626375,3.237300396491154,5.384119942914176e-12,2.664181742833845e-10,TRUE
Reln,76.67773581290092,13.349861311626375,3.237300396491154,5.384119942914176e-12,2.664181742833845e-10,TRUE
Speer4b,72.8013137966399,13.34953662798107,3.2481169379927817,6.867954811449516e-12,3.347443781534958e-10,TRUE
Gm48240,68.9248917803789,13.349107366200698,3.260426383204183,8.99522869439263e-12,4.173176892046216e-10,TRUE
Gm15276,68.05217963121298,13.338223991102685,3.074180681100817,6.810064886585571e-13,4.4737423702515845e-11,TRUE
Vmn1r78,68.20301064909059,13.325420072259318,3.2599721282219654,1.0201229774779682e-11,4.613182887235756e-10,TRUE
Vmn1r49,59.00640435399197,13.28027710190273,3.2955664736712764,2.6003192115402292e-11,1.0363770946330977e-9,TRUE
Pcsk5,70.63567040277499,13.280169017647442,3.248458504184287,9.945619327643305e-12,4.537534246000816e-10,TRUE
Rhoh,74.512092419036,13.2797315378397,3.236231907439168,7.717531562343916e-12,3.6439800682052543e-10,TRUE
Tmem178b,66.75924838651397,13.278267078876418,3.260156762286827,1.31820936639139e-11,5.751358166150913e-10,TRUE
Obox4-ps28,66.75924838651397,13.278267078876418,3.260156762286827,1.31820936639139e-11,5.751358166150913e-10,TRUE
Erich3,73.55814185953932,13.27774948013668,3.10611342179075,1.916186573656694e-12,1.081739963317491e-10,TRUE
Gm3629,46.20039240245179,13.266945324851829,3.6433755942158137,9.955976129705756e-10,2.4533479340363834e-8,TRUE
Stra6l,54.40810120644265,13.265859657652229,3.3284315888707545,4.668594666506251e-11,1.745524346490241e-9,TRUE
Cbfa2t3,53.686220075154345,13.24056905653526,3.329339752678089,5.427025187997837e-11,1.9829099428010303e-9,TRUE
Vmn2r22,45.478511271163484,13.237182032443792,3.645679703292135,1.1992056999541547e-9,2.8780809219405264e-8,TRUE
Nfasc,57.56264209141535,13.229552733613701,3.295854119630229,3.456114723734015e-11,1.3230068970764815e-9,TRUE
C6,61.43906410767636,13.229277575219841,3.2764989441892056,2.376254030342962e-11,9.53694703490458e-10,TRUE
