Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,threshold
Gm15258,544.3681713417975,15.46959599893788,3.3406859523032364,5.3639292071331405e-17,2.2529427485339732e-14,TRUE
Btbd35f11,240.386416719007,14.8728220361459,3.714532114729657,2.176231796059376e-14,4.07809098336942e-12,TRUE
Gm15251,297.62301741998436,14.503619241332254,3.3079763993679525,7.618435561589346e-15,1.6872064428716186e-12,TRUE
Duxf3,295.6948778706296,14.215664072540834,3.278414424985254,2.378152385468821e-14,4.422455745221828e-12,TRUE
Or4x15,145.81998852023847,14.034751880164249,3.664401697697827,1.6103337824182745e-12,1.5384055401369248e-10,TRUE
Spin2e,242.8392193902429,13.956495715039937,3.276472418467173,9.316625287357458e-14,1.418840300962111e-11,TRUE
Vmn1r91,203.620134456164,13.925392841017546,3.2974131354747986,1.5290988228267015e-13,2.2305614624479806e-11,TRUE
Gpr31c,189.90439296168614,13.77965909712973,3.2907583194768697,3.0540665615460967e-13,3.895294005540548e-11,TRUE
Grin2b,178.1664464494238,13.543980258395829,3.274001930528954,8.261401751941779e-13,8.865903439605889e-11,TRUE
Iqsec3,125.49863638068649,13.258331025032948,3.307331130499848,5.892633275694255e-12,4.769117582365041e-10,TRUE
Obscn,167.24415170266062,13.248292924254356,3.0569861594093504,5.5252861778018946e-12,4.6096402937476694e-10,TRUE
Or5aq7,141.0043244457305,13.24345349292093,3.2775365547630377,4.272908837889585e-12,3.691217453894616e-10,TRUE
Spin2f,172.54973329545746,13.11802435911395,3.237276951388786,4.031148975172936e-12,3.5452281654941476e-10,TRUE
Or5m8,137.70822662782805,13.020409901094698,3.136980111228084,3.6128867005401894e-12,3.22393893450035e-10,TRUE
Potefam3b,96.54422318098405,12.972188009358113,3.332906894856059,3.6829528492102325e-11,2.3735559354394306e-9,TRUE
Potefam3a,144.50407788386462,12.968309905436357,3.012258491300128,1.3822713302000777e-12,1.3415741782870155e-10,TRUE
Gm19119,117.40200023948803,12.876147415854653,3.1411884658326166,7.657136087632114e-12,5.921761658120824e-10,TRUE
Gm42581,89.32541186810096,12.825366452286582,3.330987950738999,7.563156211147551e-11,4.345425671220884e-9,TRUE
Kcnq2,103.38733767056836,12.782630128752132,3.286987193340936,4.9361790875944484e-11,2.9764915532893156e-9,TRUE
Gpr179,109.69641944051375,12.744209267169282,3.2665922858752903,4.538359723709615e-11,2.7918934653861093e-9,TRUE
Gm21870,112.85096032548644,12.729008984662451,3.260900985261769,4.391445573789515e-11,2.7456301425522786e-9,TRUE
Grid2,99.77793201412682,12.698028498244533,3.2780285199245607,7.065202431867194e-11,4.1077660248858405e-9,TRUE
Muc19,115.77038956526202,12.692682794414942,3.126518756316286,1.4832540833035828e-11,1.0658865110135275e-9,TRUE
Gm15914,82.59641225829782,12.682029232125627,3.207538604680565,4.8617963344741966e-11,2.9389136601520076e-9,TRUE
Obox3,99.32306724265796,12.601019783798579,3.2706612200607794,9.753974212413847e-11,5.339698107609297e-9,TRUE
Muc16,80.20797352117239,12.518249333965496,3.3109403516489895,2.68511323509315e-10,1.2750885676433573e-8,TRUE
Gm8881,109.7755873886838,12.475553863339952,3.2402242726769392,1.0641522507907597e-10,5.760847329225266e-9,TRUE
Tnik,80.75855243650827,12.470773127552244,3.1844370986741306,1.996747783132877e-10,1.0050159658037194e-8,TRUE
Ryr2,84.60611195513569,12.440423686465111,3.0450525218473783,3.077621032453153e-11,2.0263223235565206e-9,TRUE
Auts2,80.47498988099184,12.420488707561267,3.29553140441009,3.457261537824854e-10,1.5801566289484288e-8,TRUE
Fat2,99.50985645564435,12.401611485100405,2.9436718895646097,6.486975748651374e-12,5.147531472732773e-10,TRUE
Atp2b2,79.03122761841523,12.381316901636184,3.2951372116673903,4.135738636743358e-10,1.8218938323635612e-8,TRUE
Grip2,73.71104333957761,12.348224258637643,3.3141888862260966,6.085204723742007e-10,2.5514917775400867e-8,TRUE
