Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,threshold
Eef2,7403.592555397754,-2.6179513419917146,0.7623410735764724,2.698090233848641e-5,0.033410226524894907,TRUE
Smc1a,1136.52428683196,-2.630032702508503,0.7529931049514417,2.4759304775618176e-5,0.03199225124463464,TRUE
Wasf3,841.0010868036233,-2.6524902884292967,0.7408053105017017,1.7327871718158685e-5,0.024188850135230987,TRUE
Eif3a,4237.924602969598,-2.6692704248637793,0.7210470696663029,1.0999456687124335e-5,0.019228991369685183,TRUE
Kif1c,8958.775819871546,-2.688250611283518,0.8462182693294126,6.512197186275962e-5,0.04398545185884893,TRUE
Niban2,1348.986351091456,-2.7380950402395294,0.8549216471188923,6.460261748314235e-5,0.04398545185884893,TRUE
Map2k7,651.4128056730772,-2.7721919357885114,0.840436844981625,4.6300790144503375e-5,0.03811228692769477,TRUE
Hsp90ab1,9320.932571129973,-2.7927728707571244,0.7304126412012871,6.676704680784265e-6,0.014173213314873399,TRUE
Htatsf1,516.9481536922754,-2.8001336942138164,0.8243249625216486,3.303993267525607e-5,0.03601822131853897,TRUE
Arhgap11a,2250.8841771555512,-2.8491380647843436,0.7087064832929881,2.9966119693347897e-6,0.01231138593294395,TRUE
Pkm,6180.0824640608835,-2.851740962060103,0.7698460790113134,1.0668934711804415e-5,0.019228991369685183,TRUE
Med22,489.82441377658614,-2.8600672254259805,0.8567419611284665,4.02009585234081e-5,0.03747690540424332,TRUE
Zc3h13,731.5597391213698,-2.8612571649433853,0.864231655963617,4.161438400821123e-5,0.03747690540424332,TRUE
Ptpn11,1913.2620339886719,-2.8884367072506127,0.8128087673432303,1.7906211614626393e-5,0.024188850135230987,TRUE
Zfp36l2,1191.5582138438824,-2.9020818773756663,0.8564390586221715,3.7643852241315996e-5,0.037291254825322334,TRUE
Cenpb,3762.6101851062654,-2.9755545207808836,0.8023706523509339,9.839378355173782e-6,0.019228991369685183,TRUE
Ezr,695.9102524132418,-2.982030494593089,0.8945715091149374,4.155880855814515e-5,0.03747690540424332,TRUE
Trim28,1283.5252740448389,-3.020974520392695,0.9190460462709519,5.128027101468894e-5,0.03882002081125009,TRUE
Ubc,3165.3733271440374,-3.0753134394431956,0.7671838307660792,2.989490924594017e-6,0.01231138593294395,TRUE
Atp5a1,2952.5639315638923,-3.0928677987644955,0.9461125556606697,5.579529946217505e-5,0.04044342694430196,TRUE
Rcc2,1519.3635349658105,-3.1163102652275754,0.7944990219299571,4.14342652011519e-6,0.01231138593294395,TRUE
Kctd10,1607.6655182861257,-3.162258115530268,0.8140299898972961,4.854166429624237e-6,0.01231138593294395,TRUE
Cyb5r3,4843.153118374437,-3.186676063332744,0.7478066205406183,9.796715591885658e-7,0.01231138593294395,TRUE
Ctnnb1,1867.6810297577972,-3.208072297457552,0.805137990249183,3.4975344361968246e-6,0.01231138593294395,TRUE
Ftl1,5902.133053221851,-3.2713323928543976,0.7990278938007452,1.8943380505948996e-6,0.01231138593294395,TRUE
Fth1,1865.1567272789177,-3.3244365631396797,0.8574969316921669,4.971117170676247e-6,0.01231138593294395,TRUE
Abcf1,981.6608606854151,-3.3568001023570235,0.9408217299248244,1.6161524589789228e-5,0.024188850135230987,TRUE
Sar1a,739.8992307815982,-3.4333171533263642,1.0437681306847943,4.688750057450656e-5,0.03811228692769477,TRUE
Dynll2,2865.286947446656,-3.454774588930031,0.8686017401395281,3.07166894466185e-6,0.01231138593294395,TRUE
Actb,19105.975045058807,-3.4662426149841696,0.9725786409119687,1.4546564830971766e-5,0.024017186678424996,TRUE
Rps2,10013.550979263673,-3.5776266169370605,0.9481567099946758,6.32699850886779e-6,0.014173213314873399,TRUE
Ybx1,2872.410113278722,-3.5841342684026585,1.107010214937621,4.530716799871793e-5,0.03811228692769477,TRUE
Gm8730,1543.881854744224,-3.6351615006619413,1.1351106021637039,4.8622796347268316e-5,0.03811228692769477,TRUE
Zbtb12,332.2373984055052,-3.7709237436679466,0.8357595576585067,3.0942445252819665e-7,0.009195785304685476,TRUE
Rplp0,5343.102457554436,-3.8023779100240906,1.15083015203733,3.166368601884388e-5,0.03601822131853897,TRUE
Cox4i1,1611.5327805235172,-3.884633211819628,1.206745184274302,5.2249430749688875e-5,0.03882002081125009,TRUE
Rpl37a,3343.4411960403904,-3.904181005358911,1.115592255605354,1.630754290440455e-5,0.024188850135230987,TRUE
Cavin1,4116.712880995889,-4.0282223892574125,1.0323960439848583,3.7302186089330987e-6,0.01231138593294395,TRUE
H3c15,4237.588940110298,-4.085756229393446,1.2950239971530444,4.8732020029355e-5,0.03811228692769477,TRUE
H2ac24,2218.102656455448,-4.414182054723449,1.4267560600503049,6.420465378604322e-5,0.04398545185884893,TRUE
Rpl36,2361.1961949532056,-4.5194757826434095,1.3697523586849387,2.8931736777037636e-5,0.03439289141107126,TRUE
H2ax,2032.2270851151084,-4.675291616535679,1.4079709021769933,3.759683786745446e-5,0.037291254825322334,TRUE
Rpl3-ps1,2816.8306229839527,-5.1943729090525546,1.3380385346329442,4.866922792495173e-6,0.01231138593294395,TRUE
H4c1,1622.6459389006245,-5.650518912103125,1.6131904862010338,3.393486311514826e-5,0.03601822131853897,TRUE
