Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,threshold
Gm15258,544.3681713417975,14.579394692406423,3.152273884012606,7.011663514634818e-16,7.451804756167122e-13,TRUE
Duxf3,295.6948778706296,14.36278570632311,3.172877768150548,4.136454732261772e-15,3.5820165961115736e-12,TRUE
Spin2e,242.8392193902429,13.944423628916912,3.1640849293239013,3.801993777741261e-14,2.4025517977667145e-11,TRUE
Spin2f,172.54973329545746,13.86388037936324,3.1861220521976867,1.078019248776297e-13,5.601148456808578e-11,TRUE
Gm15251,297.62301741998436,13.678680132691536,3.137121594048607,9.030658805402028e-14,5.27864583822762e-11,TRUE
4930432E11Rik,118.94475163063385,13.671650757492094,3.0547572300356385,8.062624393095273e-14,4.833646690640015e-11,TRUE
Ttn,339.60359718416,13.580849603250511,2.8842072914120287,3.389349689337326e-14,2.2012884746221112e-11,TRUE
Wdr87-ps,112.77722679361821,13.264081224567938,3.0710048702652744,1.115794474635412e-12,4.348065101908428e-10,TRUE
Grin2b,178.1664464494238,13.244418275841015,3.1515775968940525,1.4220124984547308e-12,5.115088342518471e-10,TRUE
Gm4726,109.58773897703442,13.237956169390216,3.1985598399936035,4.794038284419794e-12,1.4011176141002401e-9,TRUE
Fat3,91.54071069482669,13.235069106928048,3.2233955299459773,8.712500766755392e-12,2.2142063089946503e-9,TRUE
AW822073,132.73962007917626,13.140034316826927,3.0454071101284512,1.2445934804411905e-12,4.693522607450883e-10,TRUE
Vmn1r91,203.620134456164,12.972133560863192,3.130892810075761,3.59532152539549e-12,1.1515371587023556e-9,TRUE
Gpr31c,189.90439296168614,12.97160955740382,3.135811938495531,4.054931412018429e-12,1.247478307163196e-9,TRUE
Gm8881,109.7755873886838,12.963062410931467,3.1863760764613702,1.434414636328797e-11,3.320598872475604e-9,TRUE
Btbd35f1,98.22548928807086,12.95850689306659,3.198845980462674,2.013536748283378e-11,4.319128689138868e-9,TRUE
Or5m8,137.70822662782805,12.709276735923257,3.0339739209609227,8.469336308129365e-12,2.2002394691152523e-9,TRUE
Or5aq7,141.0043244457305,12.634157675232192,3.1459196596880847,2.9241041487245344e-11,5.793938906892232e-9,TRUE
Gm21870,112.85096032548644,12.628850758467928,3.1686911269857236,4.998071867789773e-11,8.989224487753282e-9,TRUE
Flg2,89.75076412426054,12.619483094755932,3.196116025358801,9.771177789284405e-11,1.5865271381337406e-8,TRUE
Gm5924,80.36630941751253,12.61212017066979,3.2103597669431765,1.4176377571968655e-10,2.1384379613561232e-8,TRUE
Btbd35f7,54.37858869113339,12.584984546460683,3.2833277547441138,7.091096424144783e-10,8.087654902094105e-8,TRUE
4930562C15Rik,77.5836256871926,12.467156684925747,3.088160018211177,1.6033972471076418e-10,2.3727234832040365e-8,TRUE
Gm7023,31.011376130088035,12.431842817661437,3.7649425241815613,1.9576010132184618e-7,7.140510029650679e-6,TRUE
Gm14361,31.011376130088035,12.431842817661437,3.7649425241815613,1.9576010132184618e-7,7.140510029650679e-6,TRUE
Gpr179,109.69641944051375,12.430663532260368,3.1648825652729764,1.1723227885332578e-10,1.8396026254158456e-8,TRUE
Gm7760,59.1647402503321,12.389561014139405,3.2552177486529175,9.545217871659936e-10,9.963247279342902e-8,TRUE
Myh6,48.33652328100746,12.36786916713746,3.3001984903130026,2.4213014975883723e-9,2.0586345569132265e-7,TRUE
Obox3,99.32306724265796,12.19986591709679,3.168568444342868,3.6552747417285315e-10,4.8284733749353e-8,TRUE
Vmn2r5,69.00405972854897,12.174039563348316,3.2182734576046492,1.1492995653596387e-9,1.133830090197203e-7,TRUE
Gm14151,27.134954113827032,12.126278734878765,3.81697284122093,8.845189454305798e-7,2.5595219632564836e-5,TRUE
Rxfp1,72.01911414275257,12.082794484886897,3.040948204164616,2.503544941944247e-10,3.4432578992704965e-8,TRUE
Gm5926,29.30059750769196,12.062550735114518,3.4694979088571243,8.010223241237338e-8,3.4491165672812194e-6,TRUE
Frem2,72.76852008773835,12.059123745887222,3.060770688235733,4.881306484577328e-10,6.038615180735582e-8,TRUE
Flg,103.13905761480449,12.034578970699524,3.0956292313135902,1.1399436190895085e-9,1.1293653287259236e-7,TRUE
Pkd1l3,43.836196513093725,11.968194480544136,3.048786275523022,1.2480526649012405e-9,1.2108182306247262e-7,TRUE
Kcnq2,103.38733767056836,11.939407076531598,3.15781055429528,9.018007577704872e-10,9.455158527996305e-8,TRUE
Grid2,99.77793201412682,11.93855196958776,3.162563172929206,9.847976115006322e-10,1.0098926734428194e-7,TRUE
Gm48641,320.44368815447126,11.924673425488244,1.3111651477202035,1.524027838560881e-19,2.969441241115997e-16,TRUE
Trim9,76.67773581290092,11.920379845187204,3.196674070420522,2.0704339919495564e-9,1.8062991479765887e-7,TRUE
Reln,76.67773581290092,11.920379845187204,3.196674070420522,2.0704339919495564e-9,1.8062991479765887e-7,TRUE
Rhoh,74.512092419036,11.915458753482675,3.198860708493229,2.2672402084197695e-9,1.9623033187727333e-7,TRUE
St8sia3,62.96199431842304,11.899802300897747,3.2268298196079668,4.039281624624184e-9,3.201438768316544e-7,TRUE
Adamts18,62.240113187134725,11.89866559743109,3.2289523553695427,4.214058852511964e-9,3.3286793929250756e-7,TRUE
Prr15l,60.0744697932698,11.895072524542591,3.235556994117731,4.810715332958175e-9,3.687847055734265e-7,TRUE
