Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,threshold
Gm15258,544.3681713417975,13.35055625589474,3.182518878574768,5.608038826646677e-13,3.289444656465137e-10,TRUE
Duxf3,295.6948778706296,13.128944217575603,3.203662577663084,2.5404250008999308e-12,1.235699897388959e-9,TRUE
Spin2e,242.8392193902429,12.702330040366403,3.1927652729592375,1.7487371263921917e-11,6.972657317546266e-9,TRUE
Spin2f,172.54973329545746,12.615781239842688,3.2143095561837365,4.122177329415401e-11,1.3933658047547686e-8,TRUE
Gm15251,297.62301741998436,12.430847027396283,3.161564934654019,3.8355379446624196e-11,1.318829883282804e-8,TRUE
4930432E11Rik,118.94475163063385,12.427558621289162,3.0860560661044287,3.3850233178759854e-11,1.1843424566386102e-8,TRUE
Asmt,71.3668365772287,12.215962002861916,3.026202904860756,1.1282742981594728e-10,3.2610397577093284e-8,TRUE
Wdr87-ps,112.77722679361821,11.987717061595594,3.0857893981471807,3.127092984207639e-10,7.168231653339418e-8,TRUE
Grin2b,178.1664464494238,11.982878213144462,3.1744451938999445,3.9523925444570675e-10,8.475544571409387e-8,TRUE
Gm4726,109.58773897703442,11.970805391298496,3.225670763250501,1.0253105296452277e-9,1.549073325205665e-7,TRUE
Fat3,91.54071069482669,11.963899800800727,3.2520331380913805,1.6382952977282506e-9,2.2689252168468402e-7,TRUE
Or4m1,119.14763834966031,11.769750136631,2.931003456805641,1.7113623108068353e-10,4.490749811107989e-8,TRUE
Gpr31c,189.90439296168614,11.702722816958634,3.1552076987601496,9.905169005624595e-10,1.5195291190705485e-7,TRUE
Vmn1r91,203.620134456164,11.68773867821555,3.1355990712771233,9.017365306502627e-10,1.4620594821754623e-7,TRUE
Gm8881,109.7755873886838,11.686924730126535,3.209873895056131,2.6559628606891018e-9,3.428731167474702e-7,TRUE
Btbd35f1,98.22548928807086,11.681902133859813,3.2253181067580527,3.461194909319582e-9,4.2089396388146604e-7,TRUE
Potefam3a,144.50407788386462,11.52016066120435,2.955329421902219,5.887002334487735e-10,1.0948200622264799e-7,TRUE
Or5m8,137.70822662782805,11.440752278451004,3.059097818456722,1.8600052279338758e-9,2.523407092563625e-7,TRUE
Or5aq7,141.0043244457305,11.354217709801466,3.165966128806797,5.178088373098921e-9,5.737034245817322e-7,TRUE
Gm21870,112.85096032548644,11.344789399203057,3.190263846942142,7.849974476928187e-9,7.98734903027443e-7,TRUE
St6galnac3,79.26625181977744,11.33792397826617,3.0081080463055168,3.1493411662024153e-9,3.9501453382122493e-7,TRUE
Flg2,89.75076412426054,11.330269564853866,3.2207488130835156,1.3209252062416847e-8,1.208404192113666e-6,TRUE
Gm5924,80.36630941751253,11.322188754252126,3.2369511993162634,1.7634227988388268e-8,1.5093536857185719e-6,TRUE
Btbd35f7,54.37858869113339,11.279634452585015,3.316644430376719,6.156233525582437e-8,4.147762337861167e-6,TRUE
Muc19,115.77038956526202,11.26638889260159,3.0673373840012927,4.15727308202595e-9,4.792398674846446e-7,TRUE
Hrnr,88.33890657630627,11.257078261443173,3.1020593889809147,7.109620642329296e-9,7.462482340524903e-7,TRUE
4930562C15Rik,77.5836256871926,11.179791633858565,3.1244007936135083,1.94034203229281e-8,1.6056531597516807e-6,TRUE
Gpr179,109.69641944051375,11.139612267497315,3.1849743498765806,1.6216077251462704e-8,1.4184088974821085e-6,TRUE
Gm7760,59.1647402503321,11.082238376821754,3.2861809394945847,8.214550292605487e-8,5.3712385732928265e-6,TRUE
Myh6,48.33652328100746,11.051858258535999,3.336665183030882,1.688533888089918e-7,9.459109924207088e-6,TRUE
Gm7023,31.011376130088035,11.050304683816643,3.8155765110547857,5.07855319526872e-6,1.346829606027182e-4,TRUE
Gm14361,31.011376130088035,11.050304683816643,3.8155765110547857,5.07855319526872e-6,1.346829606027182e-4,TRUE
Obscn,167.24415170266062,11.034784057500984,2.978253799743018,1.3861064598386968e-8,1.2508199605684675e-6,TRUE
Tshz2,65.79912594920489,11.019295521072287,3.076710907056279,1.567785194302688e-8,1.3834663774326772e-6,TRUE
Gm8038,38.30383353100444,10.992377183295186,3.197340582103983,7.375143080743549e-8,4.854207209876851e-6,TRUE
Obox3,99.32306724265796,10.899945844457699,3.188513581395359,4.1933566916225326e-8,3.1321390449823285e-6,TRUE
Ano2,41.353923846258155,10.875955838974269,3.063446221913228,4.9146649149743144e-8,3.53077782283904e-6,TRUE
Rhox8,75.47754287293901,10.87103620511404,2.950282754029908,1.4612845968088613e-8,1.2952177206292942e-6,TRUE
Vmn2r5,69.00405972854897,10.86535538200715,3.2455093669110786,1.013618296735563e-7,6.277822885651346e-6,TRUE
Gm19119,117.40200023948803,10.824863738123536,3.046813859171733,1.7991306009594938e-8,1.5268111308483057e-6,TRUE
Vmn1r168,81.31778033386121,10.797915149407153,3.09537168857336,3.982591818909948e-8,3.00851623653489e-6,TRUE
Rxfp1,72.01911414275257,10.790917727797801,3.066981542387864,3.132972289768636e-8,2.440658842767809e-6,TRUE
Fat2,99.50985645564435,10.740026041637174,2.896056345665834,6.961505309284233e-9,7.363722027732049e-7,TRUE
Dnah8,92.93928018601625,10.737826350769732,2.93450218605331,1.1479370959957985e-8,1.0798730898794437e-6,TRUE
Vmn2r25,85.7667603518528,10.725149102347334,2.943949815848329,1.45351967665822e-8,1.2940867371247714e-6,TRUE
Gm14151,27.134954113827032,10.711472648302033,3.8813394369042014,1.7106696010901645e-5,3.5026574799323565e-4,TRUE
Gm5926,29.30059750769196,10.703116678319216,3.527728026498369,2.675561097670027e-6,8.234369594264406e-5,TRUE
Kcnq2,103.38733767056836,10.630711081226018,3.175932088140458,9.111048074556643e-8,5.750051637686175e-6,TRUE
Grid2,99.77793201412682,10.628744320816573,3.1807547040633875,9.747127846630179e-8,6.112797819036027e-6,TRUE
B3gnt8,47.489631412486354,10.60800417054636,3.087612845716621,1.6401507220216344e-7,9.372356976870331e-6,TRUE
Trim9,76.67773581290092,10.605325151964315,3.220769998532617,1.7229542530597162e-7,9.571274838097471e-6,TRUE
Reln,76.67773581290092,10.605325151964315,3.220769998532617,1.7229542530597162e-7,9.571274838097471e-6,TRUE
Rhoh,74.512092419036,10.6013052042274,3.224650951680865,1.8471853530818268e-7,1.003771593910378e-5,TRUE
St8sia3,62.96199431842304,10.58186264949815,3.258848315277036,2.87630063995222e-7,1.4340515915641781e-5,TRUE
Adamts18,62.240113187134725,10.576583687346105,3.2573505944924364,2.971274186757784e-7,1.4740328633460322e-5,TRUE
Prr15l,60.0744697932698,10.571338413440134,3.2646668559703076,3.288884071696857e-7,1.61155319513146e-5,TRUE
Fsip2,57.90882639940487,10.565434532885922,3.2727074772818083,3.664586778932076e-7,1.731821187967829e-5,TRUE
Bcl11a,56.46506413682826,10.561143167456459,3.278257591711032,3.954363435132008e-7,1.8382720276652132e-5,TRUE
Atp10b,55.74318300553995,10.559356629277646,3.281496338660761,4.1129829278115447e-7,1.894346848252786e-5,TRUE
Dmtf1l,55.74318300553995,10.559356629277646,3.281496338660761,4.1129829278115447e-7,1.894346848252786e-5,TRUE
Tafa4,52.133777349098395,10.546397974822927,3.296595711339291,5.077143153314363e-7,2.2156119454386947e-5,TRUE
Ablim2,81.04396953224187,10.542568685664838,3.0915625429832514,8.45076524979849e-8,5.475833933520079e-6,TRUE
Kbtbd12,81.04396953224187,10.542568685664838,3.0915625429832514,8.45076524979849e-8,5.475833933520079e-6,TRUE
Gpr17,49.24625282394516,10.535757946846068,3.3113218679895953,6.122741265446556e-7,2.5541743093003324e-5,TRUE
Tunar,49.24625282394516,10.535757946846068,3.3113218679895953,6.122741265446556e-7,2.5541743093003324e-5,TRUE
Gm7416,73.95268810840915,10.534721514151116,3.035057459017172,5.051580721406773e-8,3.610884384480834e-6,TRUE
Zfp998,83.22095747321534,10.531825143088158,3.0883918488015327,8.998531334561451e-8,5.71521370717067e-6,TRUE
Gm2854,65.88142355819862,10.516206857710465,3.11584398221153,1.324296731211901e-7,7.836928697495234e-6,TRUE
Or13c3,44.193084904927,10.51130290703334,3.3404741793288886,8.920678436374461e-7,3.508976135238972e-5,TRUE
Gm4834,44.193084904927,10.51130290703334,3.3404741793288886,8.920678436374461e-7,3.508976135238972e-5,TRUE
Gm8844,42.74932264235038,10.50489240929194,3.3514958943130715,1.0067071575393095e-6,3.90532064854143e-5,TRUE
Insrr,60.82825563918045,10.504597911211084,3.1293006721282444,1.6059657286267087e-7,9.203383484483463e-6,TRUE
Timp4,58.67244890410416,10.504379153931444,3.1493705795598985,1.9953945652424847e-7,1.0755176706656992e-5,TRUE
Gm6882,55.77508772016228,10.499854549538224,3.147305172913452,2.0065916199729167e-7,1.0786376462835546e-5,TRUE
Fam83g,50.00308088684457,10.482500576629501,3.1675736602502167,2.7102384138987557e-7,1.3816206979639567e-5,TRUE
Ptprt,48.57066317137649,10.466075424328874,3.1813278910180864,3.406324122756307e-7,1.654065302059654e-5,TRUE
Cadm3,36.252392460755594,10.459807270006813,3.4060974086792757,1.9046871228950741e-6,6.370835807243208e-5,TRUE
Gm8744,36.252392460755594,10.459807270006813,3.4060974086792757,1.9046871228950741e-6,6.370835807243208e-5,TRUE
Nkain3,67.4512078215057,10.448251614061745,2.960932338115048,4.921808327479582e-8,3.53077782283904e-6,TRUE
Hnf1a,39.89370283181948,10.44475850232343,3.221191561690021,5.42904784393867e-7,2.338477346688313e-5,TRUE
Tmie,33.36486793560236,10.435148393951104,3.439019623199862,2.6876923901795247e-6,8.243898288939939e-5,TRUE
Ces3a,33.36486793560236,10.435148393951104,3.439019623199862,2.6876923901795247e-6,8.243898288939939e-5,TRUE
Otog,57.987022592746854,10.428577153129162,3.0307551172641745,1.1632859327199328e-7,7.094621209857376e-6,TRUE
Itgal,35.69987156136763,10.421741498732453,3.1862112969466136,4.7134072804215427e-7,2.1123478964819514e-5,TRUE
Pcdhb3,42.22182304634588,10.413543817867849,3.0121489937036596,1.0823273224868139e-7,6.682617273174777e-6,TRUE
Cyp11a1,30.477343410449123,10.405469254702611,3.4790733569716616,3.981115291634772e-6,1.115103683442026e-4,TRUE
Mylk4,68.99523433325801,10.405459177040399,2.9473358296787735,6.001608722863461e-8,4.0989754369885615e-6,TRUE
Clic5,71.04156119875334,10.392889714054048,3.169503680416176,4.873728894502681e-7,2.153987958703244e-5,TRUE
Tdpoz4,31.962847046436718,10.382408173463485,3.2990931910644585,1.3925425732560714e-6,5.10505083427313e-5,TRUE
Vmn2r88,58.3789432900912,10.37147157696023,2.9437972643532184,7.485591425596447e-8,4.9106957171273005e-06,TRUE
Hs3st5,28.346646948195296,10.370653913032553,3.333265099349118,1.8799390773559308e-6,6.333044766842793e-5,TRUE
Gm15089,26.146056622719264,10.354876211702841,3.564231790034372,8.096940458889828e-6,1.9473761995783778e-4,TRUE
Ces2g,32.01986203388152,10.31973565706423,3.153852396016741,6.783538919609639e-7,2.806724412318984e-5,TRUE
Iqsec3,125.49863638068649,10.31947281374867,3.1491037938070425,1.841102101684337e-7,1.0031994320735173e-5,TRUE
Vmn2r8,81.46388737209962,10.282706720032719,3.2038538467010476,3.932245227616038e-7,1.8322609012697814e-5,TRUE
Rsc1a1,23.25853209756603,10.28066722044377,3.983260172489939,6.501127580136344e-5,9.844494102555742e-4,TRUE
Pwwp4b,23.25853209756603,10.28066722044377,3.983260172489939,6.501127580136344e-5,9.844494102555742e-4,TRUE
Gm4297,75.68883832179316,10.273446444558013,3.2152997985471625,4.61519233919114e-7,2.0823706067983916e-5,TRUE
Speer4b,72.8013137966399,10.268573749677632,3.222000009019387,5.040168480768845e-7,2.204300000262568e-5,TRUE
Gm7633,75.09432373460191,10.267529736920867,3.0215086039064243,3.0769894457557415e-7,1.518920804868979e-5,TRUE
Pcsk5,70.63567040277499,10.264145260629258,3.226859807156678,5.407323004652614e-7,2.334161097008378e-5,TRUE
Gm8334,67.02626474633342,10.257484494076483,3.237134162490858,6.134731455422249e-7,2.5541743093003324e-5,TRUE
Btbd35f28,59.80745343345034,10.239307549497212,3.2596324149209948,8.220352513277492e-7,3.311888690349354e-5,TRUE
Rp1l1,59.085572302162035,10.237387671195757,3.2623585098032044,8.49371768000981e-7,3.40697215097446e-5,TRUE
Gm4725,54.03240438314387,10.220413255494803,3.281856307479745,1.0907797994765665e-6,4.1673221342837483e-5,TRUE
Gal3st2c,53.31052325185556,10.218012762747028,3.2852294742712687,1.1342399556719636e-6,4.3085995116125656e-5,TRUE
Ifi213,67.91062269828322,10.205723006711084,3.042233062663453,1.6699836791735913e-7,9.388102239105285e-6,TRUE
Erich3,73.55814185953932,10.203707541586374,3.097855629396917,2.8046063963879546e-7,1.4113833407944512e-5,TRUE
Abca12,77.9007731943777,10.203231767779519,3.0970117671853723,2.797941136498531e-7,1.4113833407944512e-5,TRUE
Cd209g,47.535474201549086,10.193148738405464,3.3138900200972743,1.6073072817376963e-6,5.7002823127817474e-5,TRUE
Stum,46.81359307026078,10.189658362477372,3.318088812260129,1.6874354508567698e-6,5.90395178884852e-5,TRUE
Vmn2r9,46.81359307026078,10.189658362477372,3.318088812260129,1.6874354508567698e-6,5.90395178884852e-5,TRUE
St8sia1,63.44876380451423,10.187861999174705,3.1207017389177194,3.8223860478813094e-7,1.7978737017192677e-5,TRUE
Tenm1,44.64794967639585,10.178231292324208,3.331370988313044,1.9679422393716525e-6,6.487590390440341e-5,TRUE
Gprin2,62.0193883060349,10.174118997800816,3.1302492703751996,4.532677469955843e-7,2.054436063257486e-5,TRUE
Ackr4,43.92606854510754,10.17391439684248,3.335977050821781,2.0772192929689954e-6,6.768951692758279e-5,TRUE
Vmn2r30,275.8503681035052,10.170914777654248,1.6151453044298767,8.277649650322865e-12,3.369003407681406e-9,TRUE
Slc17a2,43.20418741381923,10.170015262834887,3.3410969950548086,2.195820210529458e-6,7.085961562878476e-5,TRUE
Gm48244,42.482306282530914,10.165120398910009,3.345850331176004,2.3247791405859104e-6,7.41819902000851e-5,TRUE
Tifab,40.31666288866599,10.150240096467703,3.3618730354440127,2.7863846224709076e-6,8.44511679725491e-5,TRUE
Gm14542,40.31666288866599,10.150240096467703,3.3618730354440127,2.7863846224709076e-6,8.44511679725491e-5,TRUE
Gm6125,40.31666288866599,10.150240096467703,3.3618730354440127,2.7863846224709076e-6,8.44511679725491e-5,TRUE
Adra1a,38.872900626089375,10.140416624959013,3.374442840253096,3.1723168348393728e-6,9.290090255095685e-5,TRUE
Rcsd1,54.941074727418574,10.133879669432794,2.9562138989108635,1.353373561033601e-7,7.961748946222155e-6,TRUE
Homer2,43.23913434543033,10.129445379795035,3.196565440566548,1.0144874862940425e-6,3.9209154920856766e-5,TRUE
Zim1,36.70725723222445,10.121891191665503,3.3937555346501944,3.912192865703177e-6,1.0988853847988517e-4,TRUE
Rbfox3,36.70725723222445,10.121891191665503,3.3937555346501944,3.912192865703177e-6,1.0988853847988517e-4,TRUE
Kat6b-ps1,35.985376100936136,10.115325398596678,3.4008707519250705,4.213757764693471e-6,1.1704034972323383e-4,TRUE
Unc93a2,42.52859776125055,10.109425277855639,3.2085392544981013,1.2258555287193112e-6,4.621405824054673e-5,TRUE
Gm48641,320.44368815447126,10.109095329263734,1.2330394488166976,3.81221161147653e-17,7.602693616767644e-14,TRUE
Frem3,35.26349496964782,10.108918951480819,3.408624830565897,4.549270235316469e-6,1.239427545121808e-4,TRUE
Hpse2,35.26349496964782,10.108918951480819,3.408624830565897,4.549270235316469e-6,1.239427545121808e-4,TRUE
Vmn1r85,54.899333354007595,10.095024144709186,2.993277848128045,2.405525215853541e-7,1.2558478895227006e-5,TRUE
Gm28451,33.81973270707121,10.09425562809118,3.4245906026704103,5.342514868773313e-6,1.4056170716087888e-4,TRUE
Tmem92,36.739161946846785,10.09372174158502,3.2395738585524723,1.6637346639980038e-6,5.841524719033836e-5,TRUE
Vwa5b2,38.153987336275534,10.09115685346687,3.2094335033951027,2.8959373513845146e-6,8.658722428584913e-5,TRUE
Rasgrp4,36.02032303254724,10.087081294735373,3.2436058316054335,1.7724477422347481e-6,6.104995738063486e-5,TRUE
Klb,32.37597044449459,10.078575365700603,3.4423629842895234,6.342250582170017e-6,1.6112548198753712e-4,TRUE
Hapln2,37.580980644888044,10.062419598169798,3.0512540187400146,4.84268431272547e-7,2.1539398899366428e-5,TRUE
Ankrd63,46.30665364177009,10.058939942547335,3.0068613708374907,3.408819330825441e-7,1.654065302059654e-5,TRUE
Gm15807,52.209853619510284,10.04871987824732,3.0040857652272117,3.5472279699914193e-7,1.7005376780177615e-5,TRUE
Gm45665,33.31887771255804,10.048236605909263,3.210760490483336,1.7110605804437226e-6,5.955267217415211e-5,TRUE
Gm16270,28.766564788053042,10.030786398636343,3.49518556467257,1.028510610367961e-5,2.3308621707463919e-4,TRUE
Cd38,42.09985452610184,10.029791190379646,3.0073055760086382,4.087040575731997e-7,1.891133415355527e-5,TRUE
Gm6198,27.322802525476426,10.008134430331282,3.5209245901176494,1.279982635693693e-5,2.783717961138421e-4,TRUE
Pramel50,26.600921394188113,9.995333697939104,3.5347089880246716,1.4368346492175274e-5,3.0516286910910705e-4,TRUE
Gm8765,46.23058637513137,9.970328383708159,3.2710960106895413,3.6434923074728253e-6,1.042498810443767e-4,TRUE
Sdr42e1,25.157159131611497,9.969654256727022,3.566539735913837,1.8355380603160292e-5,3.6938582781919846e-4,TRUE
Gm12378,24.435278000323187,9.95691754136364,3.5847898534894216,2.0901733814621286e-5,4.118801946062103e-4,TRUE
